ano,estado,municipio,diasemchuva,precipitacao,riscofogo,frp,fococalor,indrisco,indriscocat,IPS Amazônia,Media IPS,Ranking IPS,Necessidades Humanas Básicas,Fundamentos para o Bem-Estar,Oportunidades,Nutrição e cuidados médicos básicos,Água e saneamento,Moradia,Segurança pessoal,Acesso ao conhecimento básico,Acesso à informação e comunicação,Saúde e bem-estar,Qualidade do meio ambiente,Direitos individuais,Liberdade individual e de escolha,Tolerância e inclusão,Acesso à educação superior,Mortalidade infantil até 5 anos,Mortalidade materna,Mortalidade por desnutrição,Mortalidade por doenças infecciosas,Subnutrição,Abastecimento de água,Esgotamento sanitário,Índice de atendimento de agua,Coleta de lixo,Moradias com iluminação adequada,Moradias com parede adequada,Moradias com piso adequado,Assassinatos de jovens,Assassinatos de jovens Taxa,Homicídios,Homicídios Taxa,Mortes por acidente no trânsito,Abandono escolar ensino fundamental,Distorção idade-série ensino fundamental,Distorção idade-série ensino médio,Qualidade da educação Ideb ensino fundamental,Reprovação escolar ensino fundamental,Densidade internet banda-larga,Densidade telefonia fixa,Densidade telefonia movel,Densidade TV por assinatura,Mortalidade por diabetes mellitus,Mortalidade por câncer,Mortalidade por doenças circulatórias,Mortalidade por doenças respiratórias,Mortalidade por suicídios,Áreas Protegidas,Desmatamento acumulado,Desmatamento recente,Emissões CO2,Focos de calor por habitantes,Diversidade Partidária,Transporte Público,"Acesso à cultura, esporte e lazer",Gravidez na infância e adolescência,Trabalho Infantil,Vulnerabilidade familiar,Violência contra indígenas,Violência contra indígenas Taxa,Violência contra mulheres,Violência infantil,Violência infantil Taxa,Empregos ensino superior,Mulheres com empregos ensino superior
2014,ACRE,MANOEL URBANO,1.5,0.17,0.14,0.0,435,63.25,Q2,51.41,54.45,608,63.17,54.73,36.33,81.21,57.18,74.91,39.38,46.86,13.97,78.33,79.77,24.34,60.48,53.21,7.3,45.27,4.12,21.42,21.42,8.28,52.87,50.3,65.23,52.57,68.73,89.87,83.17,83.12,6.0,36.67,5.0,18.82,6.6,45.0,45.6,4.2,13.4,7.92,9.77,54.27,6.88,32.13,32.13,96.4,53.56,24.32,57.63,2.98,15.21,75.05,17.41,77.78,0.23,3.0,30.86,278.55,23.87,2.26,2.0,193.24,58.75,3.0,11.04,6.58
2014,ACRE,MARECHAL THAUMATURGO,1.2,0.67,0.12,0.0,321,41.31,Q2,55.3,54.45,302,62.1,58.24,45.55,87.07,20.83,65.09,75.43,42.23,4.62,90.56,95.57,20.92,59.78,98.58,2.9,34.93,0.0,5.43,27.13,7.94,20.1,14.94,24.38,29.55,41.92,95.67,84.5,14.29,4.0,3.62,2.0,1.81,5.2,43.4,55.5,3.1,12.9,0.97,2.63,29.28,0.12,5.43,27.13,21.7,48.83,0.0,96.54,2.95,6.08,17.55,8.7,66.67,0.24,3.0,27.51,688.98,18.12,0.0,1.0,12.61,0.0,1.0,4.58,2.5
2014,ACRE,PLACIDO DE CASTRO,0.8,0.28,0.21,0.0,288,63.28,Q2,48.14,54.45,749,63.38,54.55,26.48,92.18,35.74,72.79,52.82,66.49,15.71,81.46,54.55,23.94,57.95,17.03,7.0,9.32,2.99,5.11,10.22,6.6,32.98,31.93,40.62,57.55,91.62,85.05,56.88,34.85,5.0,16.1,4.0,15.91,2.4,28.2,26.9,4.4,7.0,8.48,12.52,61.84,5.76,15.33,66.45,66.45,51.11,10.84,0.0,72.51,1.15,31.39,4.21,72.73,1.11,1.0,29.81,259.38,18.01,50.0,5.0,300.0,96.42,3.0,10.73,6.23
2014,ACRE,PORTO ACRE,0.8,0.26,0.23,0.0,378,90.08,Q2,52.63,54.45,510,59.12,52.49,46.26,92.41,22.48,75.77,45.82,56.41,7.73,86.98,58.86,26.85,61.91,90.1,6.2,29.89,0.0,6.17,5.5,4.53,18.72,32.87,21.87,45.51,84.04,91.98,75.72,30.45,5.0,24.46,5.0,14.08,3.8,35.3,38.5,3.95,8.4,2.44,10.0,26.38,3.57,16.5,55.01,60.51,22.0,5.5,0.0,48.19,2.15,39.81,7.8,77.78,2.13,2.0,26.09,337.87,16.3,0.0,1.0,12.37,18.21,2.0,9.15,5.73
2014,ACRE,PORTO WALTER,0.6,0.31,0.07,0.0,276,22.26,Q1,57.92,54.45,131,72.0,55.23,46.53,95.01,42.17,65.41,85.39,43.46,4.76,90.75,81.96,20.98,61.33,100.0,3.84,8.0,0.0,0.0,8.53,6.78,44.11,49.53,36.57,21.66,36.16,98.01,93.85,0.0,1.0,9.71,3.0,0.0,5.9,47.3,44.2,3.4,11.8,1.23,2.21,30.44,0.18,0.0,8.53,51.19,25.6,17.06,53.92,2.97,8.52,39.0,9.27,66.67,0.29,3.0,30.0,438.1,11.2,0.0,1.0,0.0,0.0,1.0,5.84,3.44
2014,ACRE,RIO BRANCO,0.9,0.49,0.12,0.0,1074,143.14,Q3,59.15,54.45,85,64.7,69.61,43.14,92.79,55.52,71.7,38.79,77.34,53.3,78.21,69.61,19.72,81.44,23.61,47.77,16.97,0.43,4.49,11.97,5.35,55.99,65.81,50.21,89.74,71.97,76.97,55.63,52.69,6.0,36.68,5.0,22.36,1.4,16.3,28.7,5.0,5.3,31.75,66.76,125.26,26.84,23.68,70.55,97.22,67.8,5.23,20.58,29.15,3.1,6.54,1.16,52.94,2.55,10.0,22.85,188.72,19.07,11.04,4.0,237.38,232.04,4.0,72.76,42.78
2014,ACRE,RODRIGUES ALVES,0.6,0.69,0.12,0.0,253,32.83,Q2,58.4,54.45,109,69.2,59.46,46.52,90.04,39.9,79.36,67.53,63.91,7.25,90.56,76.12,17.72,61.44,95.84,11.09,22.84,2.54,5.4,10.81,7.88,44.35,6.99,50.2,38.38,81.46,97.75,89.92,14.55,4.0,9.39,3.0,5.4,3.0,32.8,34.5,4.35,6.8,4.55,5.5,28.58,1.43,10.81,32.43,64.85,10.81,6.74,35.01,15.27,2.39,26.83,7.01,55.56,0.42,2.0,27.16,194.79,24.11,0.0,1.0,37.02,0.0,1.0,16.45,10.2
2014,ACRE,SANTA ROSA DO PURUS,1.9,0.29,0.19,0.0,120,24.1,Q1,53.12,54.45,482,60.23,55.17,43.95,66.67,38.83,50.04,85.39,33.79,4.25,95.81,86.81,24.27,59.43,91.93,0.16,64.86,5.41,31.44,78.59,8.84,39.95,30.06,41.66,41.25,39.6,77.91,43.13,0.0,1.0,6.59,3.0,0.0,7.4,53.6,70.0,3.55,7.9,0.53,2.95,26.43,0.5,0.0,15.72,25.24,15.72,0.0,69.17,1.38,9.47,18.77,9.12,77.78,0.18,2.0,17.84,1211.32,16.76,0.39,2.0,0.0,0.0,1.0,0.18,0.18
2014,ACRE,SENA MADUREIRA,1.1,0.45,0.14,0.0,1441,215.61,Q3,52.09,54.45,557,58.78,60.24,37.27,90.51,35.12,68.69,40.78,58.44,15.38,85.63,81.52,19.37,64.58,60.64,4.49,21.77,0.0,6.6,24.35,4.04,32.81,40.98,34.99,41.44,68.77,79.25,78.16,76.48,6.0,29.34,5.0,10.35,5.7,32.6,42.8,4.5,7.3,8.88,11.54,58.8,6.44,22.14,42.06,75.26,39.84,2.21,56.82,7.41,6.98,62.87,14.79,61.54,0.27,5.0,34.1,153.11,17.17,0.74,2.0,127.08,55.62,3.0,6.75,4.07
2014,ACRE,SENADOR GUIOMARD,0.5,0.52,0.15,0.0,189,29.89,Q1,53.37,54.45,456,57.29,58.41,44.41,90.62,36.36,62.23,39.97,74.12,23.51,80.78,55.24,19.05,59.93,88.37,10.29,22.08,0.0,8.77,13.15,6.84,33.62,46.18,34.87,64.66,82.01,61.98,43.74,40.43,6.0,22.39,5.0,15.24,2.0,23.8,26.4,5.0,5.2,15.73,21.5,69.1,11.5,13.15,30.69,157.83,52.61,13.15,0.0,71.3,0.64,26.37,1.63,55.56,1.43,2.0,28.48,337.56,19.87,0.0,1.0,27.72,14.42,2.0,14.34,10.0
